id,title,author,publisher,publication_date,language,pages,chapters
1,Killing Eve - Codename Villanelle,Luke Jennings,Hodder & Stoughton Ltd,2017-06-29,english,224,4
2,Killing Eve - No Tomorrow,Luke Jennings,Hodder & Stoughton Ltd,2018-10-25,english,256,8
3,Killing Eve - Die For Me,Luke Jennings,Hodder & Stoughton Ltd,2020-04-09,english,240,14
4,Killing Eve - Resurrection,Luke Jennings,Boldwood Books,2025-06-02,english,256,46
5,Killing Eve - Long Shot,Luke Jennings,Boldwood Books,2025-11-01,english,264,50
6,Killing Eve - Medusa,Luke Jennings,Boldwood Books,2026-05-11,english,,
